		Total Revenue	EBIT	Net Income Before Taxes	Provision for Income Taxes	Net Income After Taxes	"Total Assets, Reported"	Total Liabilities	Total Equity	Total Common Shares Outstanding	Retained Earnings (Accumulated Deficit)	"Cash from Operating Activities, Cumulative"	Depreciation And Amortization
TOTF.PA	2018	1.84106E+11	17279000000	18066000000	6516000000	11550000000	2.56762E+11	1.41122E+11	1.1564E+11	2608128730	NULL	24703000000	12443000000
TOTF.PA	2017	1.49099E+11	7820000000	11328000000	3029000000	8299000000	2.42631E+11	1.31075E+11	1.11556E+11	2520612860	NULL	22319000000	16295000000
TOTF.PA	2016	1.27925E+11	7893000000	7176000000	970000000	6206000000	2.30978E+11	1.32298E+11	98680000000	2419778040	NULL	16521000000	11544000000
TOTF.PA	2015	1.43421E+11	11688000000	6439000000	1653000000	4786000000	2.24484E+11	1.3199E+11	92494000000	2326090130	NULL	19946000000	18052000000
TOTF.PA	2014	2.12018E+11	28155000000	12864000000	8614000000	4250000000	2.29798E+11	1.39468E+11	90330000000	2275906110	NULL	25608000000	11931000000
TOTF.PA	2013	2.27969E+11	26289000000	26288000000	14767000000	11521000000	2.39223E+11	1.38982E+11	1.00241E+11	2268463710	NULL	28513000000	11243000000
TOTF.PA	2012	2.34216E+11	31677000000	30583000000	16747000000	13836000000	2.25886E+11	1.31917E+11	93969000000	2257541510	NULL	28858000000	10666000000
TOTF.PA	2011	2.31633E+11	31890433274	37140592965	19597382343	17543210622	2.11916E+11	1.25256E+11	86660168610	2254213140	NULL	27170141328	10176286041
TOTF.PA	2010	1.86031E+11	24315225921	27856377045	13544807436	14311569609	1.92252E+11	1.11436E+11	80815989042	2237153250	NULL	24490039491	9630215064
TOTF.PA	2009	1.55973E+11	20401855456	22779993600	10779470720	12000522880	1.82891E+11	1.07658E+11	75233338096	2233015690	NULL	17189299200	9490273280
TOTF.PA	2008	2.34599E+11	34012477882	36725283483	20698667682	16026615801	1.65374E+11	96892700400	68481017600	2228725980	NULL	27316798173	8657854989
BNPP.PA	2018	NULL	25152000000	10208000000	2203000000	8005000000	2.04084E+12	1.93937E+12	1.01467E+11	1247580780	65691000000	-1218000000	NULL
BNPP.PA	2017	NULL	24794000000	11310000000	3103000000	8207000000	1.94978E+12	1.85035E+12	99426000000	1248209820	62838000000	28967000000	NULL
BNPP.PA	2016	NULL	26249000000	11210000000	3095000000	8115000000	2.07696E+12	1.97629E+12	1.00665E+11	1245168040	59118000000	25661000000	NULL
BNPP.PA	2015	NULL	26020000000	10379000000	3335000000	7044000000	1.99419E+12	1.89792E+12	96269000000	1244013560	54781000000	20325000000	NULL
BNPP.PA	2014	NULL	16590000000	3149000000	2642000000	507000000	2.07776E+12	1.9883E+12	89458000000	1243685140	49807000000	16535000000	NULL
BNPP.PA	2013	NULL	20870000000	8101000000	2680000000	5421000000	1.81052E+12	1.72309E+12	87433000000	1242739450	52064000000	9449000000	NULL
BNPP.PA	2012	NULL	26208000000	10379000000	3061000000	7318000000	1.9072E+12	1.82176E+12	85444000000	1240129730	55504000000	57336000000	NULL
BNPP.PA	2011	NULL	9757000000	9651000000	2757000000	6894000000	1.96528E+12	1.88991E+12	75370000000	1197861270	43825000000	40345000000	NULL
BNPP.PA	2010	NULL	13098000000	13020000000	3856000000	9164000000	1.99816E+12	1.92353E+12	74632000000	1197074540	40723000000	-2698000000	NULL
BNPP.PA	2009	NULL	8747000000	9000000000	2526000000	6474000000	2.0577E+12	1.9882E+12	69501000000	1184525770	35093000000	31993000000	NULL
BNPP.PA	2008	NULL	3922000000	3924000000	472000000	3452000000	2.07555E+12	2.02232E+12	53228000000	960738190	40930000000	30074000000	NULL
ASML.AS	2018	10944000000	2898700000	2855000000	335700000	2519300000	21675900000	8733500000	12942400000	421097730	10209800000	3301500000	130300000
ASML.AS	2017	8962700000	2520100000	2465100000	275000000	2190100000	19598100000	7541800000	12056300000	427393590	8303600000	2183400000	118300000
