		Company Market Cap
TOTF.PA	2018	1.21846E+11
TOTF.PA	2017	1.16325E+11
TOTF.PA	2016	1.18298E+11
TOTF.PA	2015	1.00628E+11
TOTF.PA	2014	1.01127E+11
TOTF.PA	2013	1.05836E+11
TOTF.PA	2012	92294509786
TOTF.PA	2011	93162474135
TOTF.PA	2010	93114967390
TOTF.PA	2009	1.05627E+11
TOTF.PA	2008	92232360652
BNPP.PA	2018	49335798195
BNPP.PA	2017	77714954126
BNPP.PA	2016	75469376739
BNPP.PA	2015	65088307420
BNPP.PA	2014	61368934632
BNPP.PA	2013	70498816997
BNPP.PA	2012	52881101736
BNPP.PA	2011	36654905904
BNPP.PA	2010	57044089754
BNPP.PA	2009	66194285407
BNPP.PA	2008	27581052089
ASML.AS	2018	59179698938
ASML.AS	2017	62627101931
ASML.AS	2016	46840628168
ASML.AS	2015	35771591849
ASML.AS	2014	39161882235
ASML.AS	2013	30401639944
ASML.AS	2012	20152918416
ASML.AS	2011	14006298305
ASML.AS	2010	12464082602
ASML.AS	2009	10350795240
ASML.AS	2008	5498856772
AXAF.PA	2018	45728920250
AXAF.PA	2017	59986281399
AXAF.PA	2016	58122154335
AXAF.PA	2015	61171560142
AXAF.PA	2014	46898551213
AXAF.PA	2013	48813242547
AXAF.PA	2012	31883650634
AXAF.PA	2011	23677758356
AXAF.PA	2010	28885297116
AXAF.PA	2009	37875152816
AXAF.PA	2008	33102711188
UNA.AS	2018	1.34714E+11
UNA.AS	2017	1.37754E+11
UNA.AS	2016	1.16657E+11
UNA.AS	2015	1.19476E+11
UNA.AS	2014	99135678183
UNA.AS	2013	88415151008
UNA.AS	2012	86611963929
UNA.AS	2011	78875856411
UNA.AS	2010	29379013957
UNA.AS	2009	67888075042
UNA.AS	2008	50938820277
LVMH.PA	2018	1.30398E+11
LVMH.PA	2017	1.24416E+11
LVMH.PA	2016	91992176416
LVMH.PA	2015	73634643426
LVMH.PA	2014	67142383380
LVMH.PA	2013	67327361728
LVMH.PA	2012	70472053169
LVMH.PA	2011	55550662018
LVMH.PA	2010	60328049327
LVMH.PA	2009	38419254503
LVMH.PA	2008	23404310076
INGA.AS	2018	36620706607
INGA.AS	2017	59549054155
INGA.AS	2016	51854827552
INGA.AS	2015	48178359375
INGA.AS	2014	41784515073
INGA.AS	2013	38786941605
INGA.AS	2012	27045596164
INGA.AS	2011	21296062270
INGA.AS	2010	27884052757
INGA.AS	2009	26431234834
INGA.AS	2008	15109332724
RDSa.AS	2018	2.12233E+11
RDSa.AS	2017	2.33561E+11
RDSa.AS	2016	2.18542E+11
RDSa.AS	2015	1.3529E+11
RDSa.AS	2014	1.78229E+11
RDSa.AS	2013	1.6889E+11
RDSa.AS	2012	1.68114E+11
RDSa.AS	2011	1.81648E+11
RDSa.AS	2010	1.54623E+11
RDSa.AS	2009	1.29918E+11
RDSa.AS	2008	1.15168E+11
SOGN.PA	2018	22476271499
SOGN.PA	2017	34780858664
SOGN.PA	2016	37753637908
SOGN.PA	2015	34320312277
SOGN.PA	2014	28173657373
SOGN.PA	2013	33719268944
SOGN.PA	2012	22112890002
SOGN.PA	2011	13352456245
SOGN.PA	2010	30021077999
SOGN.PA	2009	36213516672
SOGN.PA	2008	20906180784
SASY.PA	2018	94742893550
SASY.PA	2017	90756189252
SASY.PA	2016	99266875078
SASY.PA	2015	1.02623E+11
SASY.PA	2014	1.00399E+11
SASY.PA	2013	1.021E+11
SASY.PA	2012	94542021225
SASY.PA	2011	76066574023
SASY.PA	2010	62729915218
SASY.PA	2009	72483891113
SASY.PA	2008	59705465499
MT.AS	2018	18537331721
MT.AS	2017	27708916738
MT.AS	2016	21509027457
MT.AS	2015	6490033489
MT.AS	2014	15135084514
MT.AS	2013	21600137119
MT.AS	2012	20190430480
MT.AS	2011	22055723439
MT.AS	2010	44298756632
MT.AS	2009	50230232150
MT.AS	2008	24630047899
ABI.BR	2018	97700072401
ABI.BR	2017	1.57692E+11
ABI.BR	2016	1.70255E+11
ABI.BR	2015	1.83983E+11
ABI.BR	2014	1.5095E+11
ABI.BR	2013	1.24222E+11
ABI.BR	2012	1.0563E+11
ABI.BR	2011	75956290828
ABI.BR	2010	68685752697
ABI.BR	2009	58354000589
ABI.BR	2008	26568249094
AIR.PA	2018	65183847289
AIR.PA	2017	64288153146
AIR.PA	2016	48566639848
AIR.PA	2015	48690694608
AIR.PA	2014	32448662824
AIR.PA	2013	43690084862
AIR.PA	2012	24401515738
AIR.PA	2011	19808616107
AIR.PA	2010	14237309872
AIR.PA	2009	11494839784
AIR.PA	2008	9801672417
CAGR.PA	2018	27030502381
CAGR.PA	2017	39276242459
CAGR.PA	2016	33527111316
CAGR.PA	2015	28715877292
CAGR.PA	2014	27721695728
CAGR.PA	2013	23277294922
CAGR.PA	2012	15197956947
CAGR.PA	2011	10891369541
CAGR.PA	2010	22825379406
CAGR.PA	2009	28670008021
CAGR.PA	2008	17810739968
GLPG.AS	2018	4387734316
GLPG.AS	2017	4022986726
GLPG.AS	2016	2818845393
GLPG.AS	2015	2217973172
GLPG.AS	2014	469333508.2
GLPG.AS	2013	455848903.8
GLPG.AS	2012	423245510.1
GLPG.AS	2011	274518772
GLPG.AS	2010	313144729.9
GLPG.AS	2009	193608724
GLPG.AS	2008	84331539.42
PRTP.PA	2018	51976568935
PRTP.PA	2017	49627773546
PRTP.PA	2016	26935379383
PRTP.PA	2015	19943962681
PRTP.PA	2014	20133656449
PRTP.PA	2013	19388030088
PRTP.PA	2012	17743023519
PRTP.PA	2011	14033670786
PRTP.PA	2010	15062947172
PRTP.PA	2009	10661627780
PRTP.PA	2008	5897480568
SCHN.PA	2018	34575267967
SCHN.PA	2017	42279061733
SCHN.PA	2016	39118880780
SCHN.PA	2015	30884254003
SCHN.PA	2014	35428300144
SCHN.PA	2013	35568313594
SCHN.PA	2012	30367248591
SCHN.PA	2011	22326637171
SCHN.PA	2010	30250104304
SCHN.PA	2009	21421013224
SCHN.PA	2008	13112216536
DANO.PA	2018	42137745352
DANO.PA	2017	46916192480
DANO.PA	2016	39484698400
DANO.PA	2015	40790360736
DANO.PA	2014	35054474400
DANO.PA	2013	33015384960
DANO.PA	2012	32096999610
DANO.PA	2011	31193916051
DANO.PA	2010	30465284917
DANO.PA	2009	27710618105
DANO.PA	2008	22185976578
ENGIE.PA	2018	30501944763
ENGIE.PA	2017	34909810633
ENGIE.PA	2016	29515654333
ENGIE.PA	2015	39756027805
ENGIE.PA	2014	47317587764
ENGIE.PA	2013	41247227801
ENGIE.PA	2012	37579735186
ENGIE.PA	2011	47574399228
ENGIE.PA	2010	60411021666
ENGIE.PA	2009	68452138124
ENGIE.PA	2008	77463022501
OREP.PA	2018	1.12741E+11
OREP.PA	2017	1.03551E+11
OREP.PA	2016	97065999043
OREP.PA	2015	86923716050
OREP.PA	2014	77811797900
OREP.PA	2013	76784813451
OREP.PA	2012	63761922026
OREP.PA	2011	48500101690
OREP.PA	2010	49783015655
OREP.PA	2009	46678726380
OREP.PA	2008	37530318063
ORAN.PA	2018	37653101159
ORAN.PA	2017	38504319271
ORAN.PA	2016	38397917007
ORAN.PA	2015	41017990156
ORAN.PA	2014	37481728169
ORAN.PA	2013	23839968447
ORAN.PA	2012	22089055209
ORAN.PA	2011	32143899184
ORAN.PA	2010	41306628926
ORAN.PA	2009	46164947387
ORAN.PA	2008	52182404264
AIRP.PA	2018	46453632855
AIRP.PA	2017	44990308079
AIRP.PA	2016	41079856009
AIRP.PA	2015	35669481845
AIRP.PA	2014	35456128558
AIRP.PA	2013	32144928705
AIRP.PA	2012	29675307382
AIRP.PA	2011	27125453761
AIRP.PA	2010	26876439772
AIRP.PA	2009	21941039013
AIRP.PA	2008	17075230669
SGEF.PA	2018	43031186084
SGEF.PA	2017	50336243940
SGEF.PA	2016	38642435185
SGEF.PA	2015	35504073772
SGEF.PA	2014	26851051639
SGEF.PA	2013	28704730195
SGEF.PA	2012	20735396810
SGEF.PA	2011	19077077033
SGEF.PA	2010	22463693379
SGEF.PA	2009	20543398608
SGEF.PA	2008	28939748934
SAF.PA	2018	43120920522
SAF.PA	2017	35827011647
SAF.PA	2016	28533164206
SAF.PA	2015	26427164801
SAF.PA	2014	21372766231
SAF.PA	2013	21064164338
SAF.PA	2012	13593079323
SAF.PA	2011	9677171520
SAF.PA	2010	11051284003
SAF.PA	2009	5709135019
SAF.PA	2008	4017663022
AD.AS	2018	26130728470
AD.AS	2017	22860238688
AD.AS	2016	25664297528
AD.AS	2015	16249416765
AD.AS	2014	13196475577
AD.AS	2013	13845887684
AD.AS	2012	10753108941
AD.AS	2011	11454735083
AD.AS	2010	11771081562
AD.AS	2009	11036878824
AD.AS	2008	10476691670
ESLX.PA	2018	47137543728
ESLX.PA	2017	25181154140
ESLX.PA	2016	23448296684
ESLX.PA	2015	24898882962
ESLX.PA	2014	19966419784
ESLX.PA	2013	16565269547
ESLX.PA	2012	16227024706
ESLX.PA	2011	11574236694
ESLX.PA	2010	10142511389
ESLX.PA	2009	8784192652
ESLX.PA	2008	7074286433
PHG.AS	2018	28647228021
PHG.AS	2017	29676270712
PHG.AS	2016	26959701056
PHG.AS	2015	21937431918
PHG.AS	2014	22575888824
PHG.AS	2013	24988901048
PHG.AS	2012	19042160279
PHG.AS	2011	16426120245
PHG.AS	2010	22600925729
PHG.AS	2009	20109475383
PHG.AS	2008	13448454765
KBC.BR	2018	23573074098
KBC.BR	2017	29730170694
