	Company Common Name	ISIN	Exchange Name	Country of Headquarters	TRBC Economic Sector Name
TOTF.PA	Total SA	FR0000120271	NYSE EURONEXT - EURONEXT PARIS	France	Energy
BNPP.PA	BNP Paribas SA	FR0000131104	NYSE EURONEXT - EURONEXT PARIS	France	Financials
ASML.AS	ASML Holding NV	NL0010273215	NYSE EURONEXT - EURONEXT AMSTERDAM	Netherlands	Technology
AXAF.PA	AXA SA	FR0000120628	NYSE EURONEXT - EURONEXT PARIS	France	Financials
UNA.AS	Unilever NV	NL0000388619	NYSE EURONEXT - EURONEXT AMSTERDAM	Netherlands	Consumer Non-Cyclicals
LVMH.PA	LVMH Moet Hennessy Louis Vuitton SE	FR0000121014	NYSE EURONEXT - EURONEXT PARIS	France	Consumer Cyclicals
INGA.AS	ING Groep NV	NL0011821202	NYSE EURONEXT - EURONEXT AMSTERDAM	Netherlands	Financials
RDSa.AS	Royal Dutch Shell PLC	GB00B03MLX29	NYSE EURONEXT - EURONEXT AMSTERDAM	Netherlands	Energy
SOGN.PA	Societe Generale SA	FR0000130809	NYSE EURONEXT - EURONEXT PARIS	France	Financials
SASY.PA	Sanofi SA	FR0000120578	NYSE EURONEXT - EURONEXT PARIS	France	Healthcare
MT.AS	ArcelorMittal SA	LU1598757687	NYSE EURONEXT - EURONEXT AMSTERDAM	Luxembourg	Basic Materials
ABI.BR	Anheuser Busch Inbev NV	BE0974293251	NYSE EURONEXT - EURONEXT BRUSSELS	Belgium	Consumer Non-Cyclicals
AIR.PA	Airbus SE	NL0000235190	NYSE EURONEXT - EURONEXT PARIS	Netherlands	Industrials
CAGR.PA	Credit Agricole SA	FR0000045072	NYSE EURONEXT - EURONEXT PARIS	France	Financials
GLPG.AS	Galapagos NV	BE0003818359	NYSE EURONEXT - EURONEXT AMSTERDAM	Belgium	Healthcare
PRTP.PA	Kering SA	FR0000121485	NYSE EURONEXT - EURONEXT PARIS	France	Consumer Cyclicals
SCHN.PA	Schneider Electric SE	FR0000121972	NYSE EURONEXT - EURONEXT PARIS	France	Industrials
DANO.PA	Danone SA	FR0000120644	NYSE EURONEXT - EURONEXT PARIS	France	Consumer Non-Cyclicals
ENGIE.PA	Engie SA	FR0010208488	NYSE EURONEXT - EURONEXT PARIS	France	Utilities
OREP.PA	L'Oreal SA	FR0000120321	NYSE EURONEXT - EURONEXT PARIS	France	Consumer Non-Cyclicals
ORAN.PA	Orange SA	FR0000133308	NYSE EURONEXT - EURONEXT PARIS	France	Telecommunications Services
AIRP.PA	Air Liquide SA	FR0000120073	NYSE EURONEXT - EURONEXT PARIS	France	Basic Materials
SGEF.PA	Vinci SA	FR0000125486	NYSE EURONEXT - EURONEXT PARIS	France	Industrials
SAF.PA	Safran SA	FR0000073272	NYSE EURONEXT - EURONEXT PARIS	France	Industrials
AD.AS	Koninklijke Ahold Delhaize NV	NL0011794037	NYSE EURONEXT - EURONEXT AMSTERDAM	Netherlands	Consumer Non-Cyclicals
ESLX.PA	EssilorLuxottica SA	FR0000121667	NYSE EURONEXT - EURONEXT PARIS	France	Consumer Cyclicals
PHG.AS	Koninklijke Philips NV	NL0000009538	NYSE EURONEXT - EURONEXT AMSTERDAM	Netherlands	Healthcare
KBC.BR	KBC Groep NV	BE0003565737	NYSE EURONEXT - EURONEXT BRUSSELS	Belgium	Financials
